"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"234258",234258,3.21828371168815,1.60308866430067,6.19798603655275,4.34387176485679e-05,0.000750208821743432,2.07224648241855,"Neil3"
"192120",192120,2.45152620991778,3.32553878938046,6.18845947266348,4.40734792003791e-05,0.000757714539723447,2.20394388978442,"Bspry"
"68775",68775,2.11192759104778,4.24692784851566,6.13503402238207,4.78201098990945e-05,0.000800017001699085,2.33532447462652,"Atp6v1c2"
"100502766",100502766,2.59994770229415,2.49011093089344,6.13312356885468,4.79601797505155e-05,0.000800382978645351,2.26354136160855,"Kifc1"
"16149",16149,2.95695399826001,3.34760518624244,6.13117702828189,4.81033423392763e-05,0.000801451589608324,2.2888557258939,"Cd74"
"26934",26934,2.57303284605946,3.81080567044044,6.12952944953032,4.82248707297184e-05,0.000801451589608324,2.3359070157307,"Racgap1"
"71007",71007,2.4525205189087,1.47031422288087,6.11965473769917,4.8960093864697e-05,0.000807688229058112,1.83693107302232,"D7Ertd443e"
"100504183",100504183,3.63460370530168,-3.67577989678054,6.11214486782511,4.95271839304049e-05,0.000810460039984801,0.740958977393619,"Krtap16-1"
"12839",12839,2.88700873267969,5.72086589959218,6.08017884906748,5.20199753902449e-05,0.000837193168093107,2.10278765804847,"Col9a1"
"14619",14619,3.30825041513314,4.12053466246076,6.0626555239275,5.34425427022256e-05,0.000853137318046437,2.16324317480498,"Gjb2"
"263764",263764,4.30951021290198,-2.86180819071669,5.99810276670281,5.9048646406716e-05,0.000914906674325235,0.287388475021266,"Creg2"
"404710",404710,3.04797304352546,3.40742620531294,5.98118711969181,6.06183365959498e-05,0.000923830464380319,2.06627272160437,"Iqgap3"
"17105",17105,2.66152915789931,0.742156648199954,5.92761827696044,6.58872212207686e-05,0.000970439556545226,1.9062366804729,"Lyz2"
"12522",12522,3.01882506280504,-0.829115979442959,5.92354441604321,6.63072571055922e-05,0.000973876049420858,1.42302526461421,"Cd83"
"73808",73808,3.78576435302807,-3.62083028065367,5.8813013362049,7.08334363082937e-05,0.00101324320367171,0.132188805881434,"Tex36"
"19361",19361,2.37155054820251,2.45512587259245,5.86329765444762,7.28606847374635e-05,0.00103365373571892,1.83409919198797,"Rad51"
"20537",20537,2.98137252584057,2.58807082430206,5.84289266025269,7.52326811480637e-05,0.00105219229456991,1.31762949690583,"Slc5a1"
"12796",12796,3.35644601912391,-3.34953114784762,5.81233474465816,7.89387067270162e-05,0.00108294038291125,0.447975765449707,"Camp"
"75141",75141,2.35681260379076,1.26684527492141,5.80316644065136,8.00878730039481e-05,0.00109018841081343,1.82615189936925,"Rasd2"
"68567",68567,3.01098078761418,2.62378965163693,5.7963677695232,8.09514310903515e-05,0.00109627799224671,1.84649104492543,"Cgref1"
"338370",338370,3.65835213275261,0.783351831724611,5.78110248105272,8.29264424953478e-05,0.00111442984455483,1.12731579923606,"Nalcn"
"50778",50778,2.18390846260255,-0.647715073528119,5.74116213571475,8.83385250564402e-05,0.00116633421051962,1.48308711306863,"Rgs1"
"100303738",100303738,2.8508741129344,-1.11878283479518,5.7006778030878,9.42064084516292e-05,0.00121637097971368,1.11491814451721,"D030025P21Rik"
"66240",66240,2.55824248322387,-1.39379855179784,5.64409643643011,0.000103105939484238,0.00129529909984809,1.4974074506158,"Kcne1l"
"13447",13447,2.0067921627186,3.3794594614892,5.62827362603209,0.000105750326493535,0.00131804271285791,1.51965818833633,"Doc2b"
"20419",20419,3.40814565995499,1.88826425620292,5.61913627923514,0.000107309906645251,0.00132805463165352,1.26910280558827,"Shcbp1"
"268902",268902,2.07923795123719,0.799514637572896,5.60794364118835,0.00010925341266494,0.00134473592971707,1.51124457353984,"Robo2"
"14960",14960,2.44792583449673,1.53196440984437,5.54308178874826,0.000121271615251141,0.00143711803243205,1.46500744653661,"H2-Aa"
"432530",432530,2.17376847913268,0.362789598556315,5.535129614324,0.0001228382621413,0.00145200889669492,1.19408998094107,"Adcy1"
"56636",56636,5.14995183105623,-2.2521095926799,5.53153682982644,0.00012355305392268,0.00145789030180998,0.67778650718657,"Fgf21"
"72978",72978,3.65277518617489,-1.75449839117703,5.48158682332956,0.000133957762883677,0.00154080675736073,0.867322385644236,"Cnih3"
"243725",243725,3.60775469005091,2.0144807604988,5.47034284236343,0.00013642479492693,0.00156349344381813,0.611690551453893,"Ppp1r9a"
"26886",26886,2.27582600653732,1.91140670583694,5.43927406255466,0.000143493605185784,0.00161844059377762,1.17802208690259,"Cenph"
